studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.52
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 3.08
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.7
studytype: study1, user: 14, date: 0118, size: 3, pin: 1, time: 2.62
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.64
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.74
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.72
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.94
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.52
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.4
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.44
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.48
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.7800000000000002
studytype: study1, user: 14, date: 0118, size: 3, pin: 2, time: 2.94
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.96
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.3000000000000003
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.44
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.7600000000000002
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.3200000000000003
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 4.3
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.44
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.44
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.16
studytype: study1, user: 15, date: 0118, size: 3, pin: 1, time: 3.36
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.34
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.22
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.3000000000000003
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.5
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.7800000000000002
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.7
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.68
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.38
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.36
studytype: study1, user: 15, date: 0118, size: 3, pin: 2, time: 3.22
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.6
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 6.08
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.5
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.34
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.2800000000000002
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 4.3
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.08
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.58
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.56
studytype: study1, user: 16, date: 0119, size: 3, pin: 1, time: 3.58
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.5
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.48
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 3.64
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 0.78
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.7600000000000002
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 1.48
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.58
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.16
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.56
studytype: study1, user: 16, date: 0119, size: 3, pin: 2, time: 2.7
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.12
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.16
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.1
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.24
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.44
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 3.94
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.54
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 5.04
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 4.0200000000000005
studytype: study1, user: 17, date: 0119, size: 3, pin: 1, time: 3.9
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.1
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.38
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.42
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.3200000000000003
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.44
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.58
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.56
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.18
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 3.48
studytype: study1, user: 17, date: 0119, size: 3, pin: 2, time: 4.04
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 3.96
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 6.42
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 3.36
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 3.8000000000000003
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 3.7600000000000002
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 3.7600000000000002
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 3.7
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 4.4
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 4.26
studytype: study1, user: 18, date: 0119, size: 3, pin: 1, time: 4.5
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.3200000000000003
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.5
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.6
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.62
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.7600000000000002
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.46
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.88
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.9
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 3.86
studytype: study1, user: 18, date: 0119, size: 3, pin: 2, time: 4.34
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.54
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.8000000000000003
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.72
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 4.46
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 4.26
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.84
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.42
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.52
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 6.12
studytype: study1, user: 19, date: 0119, size: 3, pin: 1, time: 3.7
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 3.06
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 3.04
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 3.2800000000000002
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 2.96
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 3.2
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 2.66
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 2.64
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 2.92
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 4.3
studytype: study1, user: 19, date: 0119, size: 3, pin: 2, time: 3.44
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.14
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.04
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.42
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.1
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.16
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.0
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.02
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.2
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.16
studytype: study1, user: 20, date: 0119, size: 3, pin: 1, time: 2.58
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 2.7800000000000002
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 2.9
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 2.7
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 3.22
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 2.58
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 3.06
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 3.1
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 3.5
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 2.9
studytype: study1, user: 20, date: 0119, size: 3, pin: 2, time: 2.74
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.34
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.24
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.52
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.36
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.2600000000000002
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.22
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.46
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.14
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.54
studytype: study1, user: 21, date: 0119, size: 3, pin: 1, time: 2.2
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.36
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.42
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.48
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.5
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.82
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.68
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.7800000000000002
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 3.66
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.62
studytype: study1, user: 21, date: 0119, size: 3, pin: 2, time: 2.52
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.2600000000000002
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.0
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.64
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.2800000000000002
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.48
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.64
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.52
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.4
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 2.7600000000000002
studytype: study1, user: 22, date: 0119, size: 3, pin: 1, time: 3.12
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.38
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.56
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.34
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.6
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 0.84
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.66
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.34
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.66
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.38
studytype: study1, user: 22, date: 0119, size: 3, pin: 2, time: 2.2800000000000002
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 2.9
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.3200000000000003
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.62
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.14
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.34
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.2
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.2600000000000002
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.2600000000000002
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.06
studytype: study1, user: 23, date: 0119, size: 3, pin: 1, time: 3.08
studytype: study1, user: 23, date: 0119, size: 3, pin: 2, time: 3.52
