model:head+eye, augmentation_time: 20
 [  0   0   0   0 159   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   1]
 [  0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   9   0   0 150   0   0   0   0   0   0   0   1   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   1   0   0   0   0   0 109   0   1   0   0   0   0   0   1
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0
    0   0   0]
 [  1   8   0   0   0   0   0   0   0   0   0 144   0   0   5   0   2   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0 159   0   0   1   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0
    0   0   0]
 [  5   0   0   1   0   0   0   0   0   0   0  13   0   0  92   0   1   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   8   0   0 152   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160
    0   0   0]
 [  0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
  111   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0 160   0]
 [  0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0 159]]
Overall Accuracy: 0.978219696969697
Frr: 0.023596938775510206, Far: 0.0010888441095498018, StdFrr: 0.009525626084911877, StdFar: 0.00033078863613447863
pin_list: [2]----------------------

X_shape (792, 6, 110) (3168, 6, 110)
confusion: [[160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0 112   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [ 14   0   0   0 146   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   2   0   0 158   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0 109   0   0   0   0   3   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0
    0   0   0]
 [  1   0   0   0   1   4   0   9   0   0   0 145   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0
    0   0   0]
 [  0   1   0   0   0   0   0   0   0   0   0   0   0 156   0   0   0   0
    0   0   3]
 [  0   0   0   0   0   0  18   0   0   0   0   5   0   0  89   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   1   0   0 154   0   0
    0   0   5]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0 159   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0
  110   0   0]
 [  0   0   0   0   3   0   0   0   0   0   0   0   0   7   0   0   0   0
    0 150   0]
 [  0   0   0   3   0   0   0   0   1   0   0   0   1   0   0   0   0   0
    0   0 155]]
Overall Accuracy: 0.9731691919191919
Frr: 0.028869047619047617, Far: 0.0013443747778714916, StdFrr: 0.010568933161527195, StdFar: 0.0003564771471295346
pin_list: [3]----------------------

X_shape (792, 6, 110) (3168, 6, 110)
confusion: [[160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0 112   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0 159   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
    0   0   0]
 [  0   0   0 158   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   2]
 [  0   0   0   0 159   0   0   0   0   0   0   1   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0 155   3   0   0   0   2   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0  98   0   0   0   1  13   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   1   0   0   0 159   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   8   0   0   0   0   0   0 152   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0 155   0   0   0   0
    0   0   5]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0 112   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   5   0   0   0   0   0   0 155   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
  111   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0
    2 157   0]
 [  0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0
    0   0 158]]
Overall Accuracy: 0.9848484848484849
Frr: 0.016198979591836738, Far: 0.0007561486497238975, StdFrr: 0.0060991637565909924, StdFar: 0.00026298587342758246
pin_list: [4]----------------------

X_shape (792, 6, 110) (3168, 6, 110)
confusion: [[153   0   0   0   0   0   1   0   0   0   0   4   0   0   0   0   2   0
    0   0   0]
 [  0 106   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
    0   0   5]
 [  0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0 153   0   7   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   1   0   0   0   0 159   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0  11   0   0   0   0   0 149   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0 112   0   0   0   0   0   0   0   0
    0   0   0]
 [  5   0   0   0   0   0   5   0   0   0 150   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   1   0   0   1   0   0   0 150   0   0   5   0   0   3
    0   0   0]
 [  0   0   0   0   0   0   0   0   2   0   0   0 158   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0
    0   0   0]
 [  6   0   0   3   0   0   2   0   0   0   0   1   0   0  88   0   9   3
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   1   0   0 159   0   0
    0   0   0]
 [  0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0 159   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  112   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    3 157   0]
 [  0   3   3   6   0   0   0   0   0   0   0   0   2   0   0   0   0   0
    0   0 146]]
Overall Accuracy: 0.9693813131313131
Frr: 0.032695578231292516, Far: 0.0015326038235278516, StdFrr: 0.010752596612274026, StdFar: 0.00034652228294073983
pin_list: [5]----------------------

X_shape (792, 6, 110) (3168, 6, 110)
confusion: [[159   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
    0   0   0]
 [  0 112   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0 158   0   0   0   0   0   2   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   1   0   0   0   0   0 111   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0
    0   0   0]
 [  0   0   0   1   0   0   0   0   0   0   0   1   0   0 109   0   1   0
    0   0   0]
 [  0   0   0  12   0   0   0   0   0   0   1   0   0   0   0 143   0   0
    0   0   4]
 [  0   0   0   0   0   0   7   0   0   0   0   0   0   0   0   0 153   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 160
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
  112   0   0]
 [  0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
    0 159   0]
 [  0   1   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0 157]]
Overall Accuracy: 0.9889520202020202
Frr: 0.01092687074829932, Far: 0.0005533320602385992, StdFrr: 0.00523353259861553, StdFar: 0.00026236551024105847
pin_list: [6]----------------------

X_shape (792, 6, 110) (3168, 6, 110)
confusion: [[152   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   0
    0   0   0]
 [  0 112   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0 159   1   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0 106   0   0   0   0   0   0   0   1
    0   5   0]
 [  0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   1   0   0   0   0   0   0 159   0   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0 160   0   0   0   0
    0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0   0 112   0   0   0
    0   0   0]
