N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.01560464,1.10802,-0.1424615,0.2602576,-0.4128196,-0.7166323,0.4982812
-0.01669361,1.107555,-0.144517,0.2650686,-0.4085194,-0.7221869,0.4912196
-0.01669361,1.107555,-0.144517,0.2650686,-0.4085194,-0.7221869,0.4912196
-0.01732381,1.107143,-0.1464007,0.2700394,-0.4039496,-0.7271125,0.4849855
-0.01795923,1.106828,-0.1477254,0.2738999,-0.3999571,-0.7313572,0.4797186
-0.01823062,1.106482,-0.1483667,0.2757802,-0.3978303,-0.7333876,0.4773039
-0.01943566,1.106183,-0.1499071,0.2794295,-0.3946481,-0.7379236,0.4707876
-0.02009111,1.10609,-0.1507516,0.281198,-0.393081,-0.7402191,0.4674299
-0.02112147,1.105784,-0.152607,0.2848172,-0.3893006,-0.7445844,0.4614306
-0.02204781,1.105498,-0.1548907,0.2891505,-0.3852777,-0.7485984,0.4555805
-0.02204781,1.105498,-0.1548907,0.2891505,-0.3852777,-0.7485984,0.4555805
-0.02271448,1.105419,-0.1567082,0.293164,-0.3821545,-0.7517058,0.4505013
-0.02265425,1.105303,-0.1573808,0.2950108,-0.3811504,-0.7523988,0.4489867
-0.02316336,1.105008,-0.1578515,0.2970711,-0.3795913,-0.753726,0.4467174
-0.02316336,1.105008,-0.1578515,0.2970711,-0.3795913,-0.753726,0.4467174
-0.02357113,1.104898,-0.159095,0.3010725,-0.3782689,-0.7543119,0.4441639
-0.02301544,1.105239,-0.16076,0.3078709,-0.3782784,-0.7525849,0.4424217
-0.02248156,1.105495,-0.1606736,0.3130455,-0.3820379,-0.7481935,0.4430079
-0.02188532,1.105769,-0.1604137,0.3193555,-0.3883283,-0.741526,0.4442437
-0.02188532,1.105769,-0.1604137,0.3193555,-0.3883283,-0.741526,0.4442437
-0.02103402,1.105985,-0.1602414,0.3241004,-0.3927196,-0.7364482,0.4453922
-0.0192774,1.106575,-0.158005,0.3385249,-0.4140765,-0.7163858,0.4480323
-0.0192774,1.106575,-0.158005,0.3385249,-0.4140765,-0.7163858,0.4480323
-0.01860023,1.107306,-0.1560604,0.3484067,-0.4308882,-0.700938,0.4490367
-0.01670843,1.1072,-0.1530861,0.359241,-0.4487236,-0.6815574,0.4528494
-0.01670843,1.1072,-0.1530861,0.359241,-0.4487236,-0.6815574,0.4528494
-0.0159685,1.107162,-0.1495781,0.3681152,-0.4664343,-0.6623908,0.4562551
-0.01476757,1.107357,-0.1467193,0.3787812,-0.4818101,-0.6429291,0.4593756
